Image.Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-27 01-00-00 T.JPG;Valdres;Box1Spring2015;T;27;10;2014;27/10/2014;01:00:00;44;7;S750HG03177873;;
2014-10-27 13-00-00 T.JPG;Valdres;Box1Spring2015;T;27;10;2014;27/10/2014;13:00:00;41;5;S750HG03177873;;
2014-10-27 20-54-20 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;27;10;2014;27/10/2014;20:54:20;45;7;S750HG03177873;W;S
2014-10-27 20-54-21 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;27;10;2014;27/10/2014;20:54:21;45;7;S750HG03177873;;
2014-10-27 20-55-21 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;27;10;2014;27/10/2014;20:55:21;45;7;S750HG03177873;W;S
2014-10-27 20-55-22 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;27;10;2014;27/10/2014;20:55:22;45;7;S750HG03177873;;
2014-10-28 01-00-00 T.JPG;Valdres;Box1Spring2015;T;28;10;2014;28/10/2014;01:00:00;45;7;S750HG03177873;;
2014-10-28 13-00-00 T.JPG;Valdres;Box1Spring2015;T;28;10;2014;28/10/2014;13:00:00;49;9;S750HG03177873;;
2014-10-28 14-22-16 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;28;10;2014;28/10/2014;14:22:16;50;10;S750HG03177873;W;S
2014-10-28 14-22-16 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;28;10;2014;28/10/2014;14:22:16;50;10;S750HG03177873;;
2014-10-28 15-38-21 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;28;10;2014;28/10/2014;15:38:21;50;10;S750HG03177873;W;S
2014-10-28 15-38-21 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;28;10;2014;28/10/2014;15:38:21;50;10;S750HG03177873;;
2014-10-29 01-00-00 T.JPG;Valdres;Box1Spring2015;T;29;10;2014;29/10/2014;01:00:00;44;7;S750HG03177873;;
2014-10-29 13-00-00 T.JPG;Valdres;Box1Spring2015;T;29;10;2014;29/10/2014;13:00:00;35;2;S750HG03177873;;
2014-10-30 01-00-00 T.JPG;Valdres;Box1Spring2015;T;30;10;2014;30/10/2014;01:00:00;32;0;S750HG03177873;;
2014-10-30 13-00-00 T.JPG;Valdres;Box1Spring2015;T;30;10;2014;30/10/2014;13:00:00;33;1;S750HG03177873;;
2014-10-30 19-06-29 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;30;10;2014;30/10/2014;19:06:29;34;1;S750HG03177873;M;
2014-10-30 19-06-29 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;30;10;2014;30/10/2014;19:06:29;34;1;S750HG03177873;;
2014-10-30 21-22-25 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;30;10;2014;30/10/2014;21:22:25;33;1;S750HG03177873;K;
2014-10-30 21-22-25 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;30;10;2014;30/10/2014;21:22:25;33;1;S750HG03177873;;
2014-10-30 22-01-21 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;30;10;2014;30/10/2014;22:01:21;33;1;S750HG03177873;M;
2014-10-30 22-01-21 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;30;10;2014;30/10/2014;22:01:21;33;1;S750HG03177873;;
2014-10-31 01-00-00 T.JPG;Valdres;Box1Spring2015;T;31;10;2014;31/10/2014;01:00:00;30;-1;S750HG03177873;;
2014-10-31 13-00-00 T.JPG;Valdres;Box1Spring2015;T;31;10;2014;31/10/2014;13:00:00;31;-1;S750HG03177873;;
2014-10-31 19-41-39 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;31;10;2014;31/10/2014;19:41:39;32;0;S750HG03177873;M;
2014-10-31 19-41-39 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;31;10;2014;31/10/2014;19:41:39;32;0;S750HG03177873;;
2014-10-31 19-48-20 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;31;10;2014;31/10/2014;19:48:20;32;0;S750HG03177873;M;
2014-10-31 19-48-20 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;31;10;2014;31/10/2014;19:48:20;32;0;S750HG03177873;;
2014-11-01 01-00-00 T.JPG;Valdres;Box1Spring2015;T;1;11;2014;01/11/2014;01:00:00;33;1;S750HG03177873;;
2014-11-01 13-00-00 T.JPG;Valdres;Box1Spring2015;T;1;11;2014;01/11/2014;13:00:00;34;1;S750HG03177873;;
2014-11-02 01-00-00 T.JPG;Valdres;Box1Spring2015;T;2;11;2014;02/11/2014;01:00:00;34;1;S750HG03177873;;
2014-11-02 13-00-00 T.JPG;Valdres;Box1Spring2015;T;2;11;2014;02/11/2014;13:00:00;36;2;S750HG03177873;;
2014-11-02 19-36-40 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;2;11;2014;02/11/2014;19:36:40;38;3;S750HG03177873;M;
2014-11-02 19-36-40 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;2;11;2014;02/11/2014;19:36:40;38;3;S750HG03177873;;
2014-11-02 19-44-04 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;2;11;2014;02/11/2014;19:44:04;38;3;S750HG03177873;M;
2014-11-02 19-44-04 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;2;11;2014;02/11/2014;19:44:04;38;3;S750HG03177873;;
2014-11-03 01-00-00 T.JPG;Valdres;Box1Spring2015;T;3;11;2014;03/11/2014;01:00:00;40;4;S750HG03177873;;
2014-11-03 05-05-58 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;3;11;2014;03/11/2014;05:05:58;38;3;S750HG03177873;M;
2014-11-03 05-05-59 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;3;11;2014;03/11/2014;05:05:59;38;3;S750HG03177873;;
2014-11-03 13-00-00 T.JPG;Valdres;Box1Spring2015;T;3;11;2014;03/11/2014;13:00:00;37;3;S750HG03177873;;
2014-11-03 20-05-41 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;3;11;2014;03/11/2014;20:05:41;35;2;S750HG03177873;M;
2014-11-03 20-05-41 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;3;11;2014;03/11/2014;20:05:41;35;2;S750HG03177873;;
2014-11-04 01-00-00 T.JPG;Valdres;Box1Spring2015;T;4;11;2014;04/11/2014;01:00:00;35;2;S750HG03177873;;
2014-11-04 10-54-59 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;4;11;2014;04/11/2014;10:54:59;35;2;S750HG03177873;V;
